Student_ID,Study_Hours,Attendance,Previous_Marks,Assignments,Internal_Marks,Final_Result
1,4.4,84.9,43.0,71.1,20.5,Fail
2,9.6,76.8,67.9,68.8,19.9,Pass
3,7.6,65.5,91.1,41.5,46.3,Pass
4,6.4,90.7,81.3,60.5,20.0,Pass
5,2.4,84.2,86.5,62.8,20.9,Fail
6,2.4,58.1,76.1,63.9,40.4,Fail
7,1.5,95.5,78.5,74.8,28.0,Pass
8,8.8,91.1,89.4,72.0,41.1,Pass
9,6.4,97.5,47.5,76.5,12.6,Pass
10,7.4,86.3,64.3,85.9,29.5,Fail
11,1.2,80.7,45.5,88.8,11.3,Fail
12,9.7,70.9,99.1,83.1,12.5,Pass
13,8.5,96.6,96.1,97.3,46.3,Pass
14,2.9,93.3,32.8,41.1,15.6,Fail
15,2.6,52.3,79.4,51.7,31.3,Fail
16,2.7,51.3,94.8,40.5,26.4,Fail
17,3.7,68.8,42.6,78.8,23.9,Fail
18,5.7,90.5,69.8,93.9,46.0,Pass
19,4.9,99.4,94.1,54.6,10.9,Pass
20,3.6,57.5,32.4,95.6,36.6,Fail
21,6.5,79.7,78.8,43.6,48.5,Pass
22,2.3,69.0,50.8,96.1,32.4,Fail
23,3.6,98.5,94.7,61.1,47.5,Pass
24,4.3,92.1,98.0,46.1,12.1,Pass
25,5.1,91.9,96.1,69.2,26.8,Pass
26,8.1,73.4,63.2,55.4,20.4,Pass
27,2.8,70.7,90.3,57.1,39.2,Fail
28,5.6,63.7,89.1,58.4,49.3,Pass
29,6.3,52.8,52.3,88.2,20.3,Fail
30,1.4,93.2,88.0,72.3,36.2,Pass
31,6.5,90.6,32.6,58.7,17.9,Pass
32,2.5,100.0,71.7,76.6,32.6,Pass
33,1.6,99.8,46.1,83.0,28.6,Fail
34,9.5,77.8,38.4,56.4,48.9,Pass
35,9.7,88.4,35.4,64.8,34.3,Pass
36,8.3,97.2,78.7,47.3,24.0,Pass
37,3.7,92.5,53.8,50.9,14.6,Fail
38,1.9,62.4,80.7,80.9,16.0,Fail
39,7.2,72.5,34.6,50.9,19.0,Fail
40,5.0,56.5,52.1,71.5,20.0,Fail
41,2.1,97.7,67.8,82.5,44.0,Pass
42,5.5,80.3,85.4,46.4,32.4,Pass
43,1.3,61.4,52.3,74.0,30.9,Fail
44,9.2,83.6,73.8,55.4,14.6,Pass
45,3.3,80.9,92.0,97.8,44.4,Pass
46,7.0,67.9,73.1,69.0,38.9,Fail
47,3.8,55.7,46.3,88.4,12.7,Fail
48,5.7,83.6,31.7,73.0,38.3,Pass
49,5.9,76.0,90.9,42.6,31.7,Fail
50,2.7,88.6,31.5,78.0,13.3,Fail
51,9.7,76.0,91.2,97.1,28.3,Pass
52,8.0,92.6,67.0,76.1,29.4,Pass
53,9.5,77.6,95.7,89.2,16.6,Pass
54,9.1,78.0,85.9,93.1,47.8,Pass
55,6.4,93.8,99.9,53.7,44.0,Pass
56,9.3,70.2,54.5,52.7,36.8,Fail
57,1.8,56.7,83.7,76.7,28.5,Fail
58,2.8,51.4,58.1,64.7,26.5,Fail
59,1.4,87.8,63.6,90.4,36.0,Fail
60,3.9,81.0,73.9,94.0,31.8,Pass
61,4.5,85.2,91.2,61.2,12.5,Pass
62,3.4,60.6,98.9,54.2,30.5,Fail
63,8.5,56.8,83.8,86.8,42.3,Fail
64,4.2,50.7,59.2,56.5,28.4,Fail
65,3.5,67.5,59.5,89.4,12.1,Pass
66,5.9,79.5,81.6,65.4,41.5,Pass
67,2.3,69.6,46.7,80.1,18.1,Fail
68,8.2,71.9,37.7,45.7,20.3,Fail
69,1.7,95.2,54.8,77.4,16.6,Fail
70,9.9,67.4,50.1,67.1,23.2,Fail
71,8.0,75.7,50.7,75.2,40.3,Pass
72,2.8,89.2,46.4,50.1,30.8,Fail
73,1.0,69.8,32.9,84.2,18.2,Fail
74,8.3,81.1,31.3,91.8,45.1,Pass
75,7.4,93.1,99.1,53.0,45.2,Pass
76,7.6,97.5,59.9,45.7,44.8,Pass
77,7.9,57.4,56.9,41.4,19.6,Fail
78,1.7,96.3,77.6,78.5,28.0,Fail
79,4.2,74.6,45.3,76.4,49.4,Fail
80,2.0,62.9,96.5,72.8,40.9,Fail
81,8.8,73.0,85.0,53.9,11.1,Pass
82,6.6,99.0,36.3,63.5,12.6,Pass
83,4.0,74.6,59.2,75.7,28.6,Fail
84,1.6,66.4,91.5,69.8,46.4,Pass
85,3.8,81.7,96.1,99.3,31.5,Pass
86,3.9,62.0,62.7,48.2,29.9,Fail
87,7.6,53.8,72.9,81.7,14.2,Fail
88,6.7,56.4,41.7,64.3,36.3,Fail
89,9.0,56.4,99.4,65.7,42.9,Pass
90,5.2,57.6,46.2,83.1,25.2,Fail
91,2.1,56.9,96.0,81.5,41.0,Fail
92,7.4,82.0,75.5,99.5,48.6,Pass
93,7.8,59.1,72.5,47.7,18.2,Fail
94,6.1,67.3,65.9,46.2,30.9,Fail
95,7.9,94.8,46.1,83.5,21.5,Pass
96,5.4,73.7,42.4,74.7,41.7,Pass
97,5.7,83.4,45.4,56.4,33.1,Fail
98,4.8,58.6,43.1,44.8,35.4,Fail
99,1.2,59.6,84.6,45.1,41.9,Fail
100,2.0,52.0,54.5,93.7,25.8,Fail
101,1.3,58.4,34.0,51.5,46.6,Fail
102,6.7,63.9,97.8,59.4,31.3,Pass
103,3.8,58.9,91.9,53.6,16.3,Fail
104,5.6,54.4,94.9,61.3,37.8,Fail
105,9.2,56.0,99.6,44.2,41.7,Fail
106,3.2,73.0,42.2,71.1,22.7,Fail
107,4.7,60.3,57.7,44.1,44.3,Fail
108,7.8,68.2,83.1,88.0,46.2,Pass
109,3.1,75.2,78.7,54.0,21.1,Fail
110,1.7,84.5,40.8,72.4,49.3,Fail
111,3.6,52.0,87.1,92.8,15.6,Fail
112,2.5,90.0,45.7,79.1,18.1,Fail
113,9.4,81.4,45.7,72.0,17.4,Pass
114,8.3,54.1,67.6,59.5,45.8,Fail
115,6.7,93.7,71.5,60.0,36.2,Pass
116,8.8,96.0,70.6,80.2,16.1,Pass
117,8.2,53.1,36.4,99.6,27.6,Fail
118,2.7,63.8,91.4,79.7,34.6,Fail
119,9.0,90.3,48.6,73.5,13.3,Pass
120,5.9,87.4,39.1,83.8,45.3,Pass
121,8.3,59.2,92.2,67.9,42.1,Pass    
122,9.1,60.5,96.9,43.6,30.2,Fail
123,3.9,68.5,90.3,73.7,48.7,Pass
124,2.0,74.2,86.7,97.5,26.7,Fail
125,3.1,80.9,75.9,50.5,49.4,Fail
